Name,Points,Rebounds,Assists,Steals,Blocks,Fouls,Turnovers,Field Goal Made,Field Goal Attempted,3 Point Made,3 Point Attempted,Game Played
Random #3,9,2,8,3,0,1,1,4,12,1,5,12
Random #5,29,18,10,3,2,1,3,11,14,7,8,12
,,,,,,,,,,,,
Random #1,5,0,9,0,0,0,5,2,7,1,6,13
Random #4,16,0,5,3,0,0,3,6,17,4,11,13
Random #2,7,1,3,3,0,2,2,3,6,1,3,13
Random #3,4,9,3,0,3,0,2,2,11,0,1,13
Random #5,33,32,3,0,3,3,4,16,25,0,0,13
,,,,,,,,,,,,
Random #1,4,2,5,1,0,0,2,2,9,0,4,14
Random #4,32,5,4,4,0,2,5,12,23,6,13,14
Random #2,2,10,3,1,0,1,1,1,6,0,1,14
Random #3,7,3,1,2,4,1,3,2,11,1,6,14
Random #5,8,7,0,0,3,1,0,4,10,0,1,14
,,,,,,,,,,,,
Random #1,20,8,8,0,2,0,3,8,18,4,7,15
Random #4,16,1,4,1,0,0,2,6,10,4,8,15
Random #2,16,1,1,2,2,0,1,7,18,2,10,15
Random #3,6,13,8,2,1,1,0,3,6,0,0,15
Random #5,12,5,2,2,0,2,1,5,11,2,5,15
,,,,,,,,,,,,
Random #1,17,4,9,2,0,0,2,5,10,3,5,16
Random #2,16,0,6,0,0,0,0,6,12,4,7,16
Random #3,27,0,2,8,0,1,1,11,19,3,6,16
Random #4,16,9,6,2,3,0,3,7,10,2,5,16
Random #5,9,15,5,2,1,1,1,4,10,0,0,16
,,,,,,,,,,,,
Random #4,13,1,3,1,0,2,4,5,12,1,5,17
Random #1,13,4,4,1,1,2,4,5,14,3,7,17
Random #2,0,1,3,3,0,1,0,0,2,0,2,17
Random #3,20,4,4,3,1,2,3,9,20,1,5,17
Random #5,8,8,0,4,3,0,3,4,12,0,0,17
,,,,,,,,,,,,
Random #1,6,1,3,0,0,2,0,3,5,0,1,18
Random #2,5,2,3,1,0,1,2,1,4,1,1,18
Random #3,8,2,1,0,0,0,1,3,9,2,6,18
Random #5,22,4,5,0,2,0,1,8,19,4,11,18
Random #4,23,14,8,6,0,1,0,9,15,5,8,18
,,,,,,,,,,,,
Random #1,10,6,2,3,1,1,0,5,9,0,0,19
Random #2,5,1,3,2,0,1,5,2,3,1,2,19
Random #3,30,0,1,0,0,0,0,11,23,8,17,19
Random #5,2,3,5,0,0,0,2,1,5,0,3,19
Random #4,9,8,8,1,2,3,5,3,13,1,4,19
,,,,,,,,,,,,
Random #1,17,11,10,2,1,3,5,8,20,1,3,20
Random #4,2,6,3,0,0,1,2,1,4,0,1,20
Random #2,23,1,4,3,0,1,5,9,21,5,13,20
Random #3,13,2,0,0,0,2,0,5,7,2,3,20
Random #5,12,24,4,1,3,1,2,5,11,1,1,20
,,,,,,,,,,,,
Random #1,15,2,14,1,0,1,1,6,14,3,9,21
Random #4,6,2,2,0,0,0,1,2,6,2,4,21
Random #2,13,0,6,1,0,0,1,4,8,0,0,21
Random #3,12,21,3,1,4,1,4,6,9,0,0,21
Random #5,33,13,3,2,1,0,6,12,23,9,11,21
,,,,,,,,,,,,
Random #1,0,1,9,3,1,1,2,0,3,0,2,22
Random #4,22,6,3,0,0,1,5,9,11,3,4,22
Random #2,26,0,4,1,0,2,6,11,14,3,5,22
Random #3,4,9,8,1,1,2,1,2,5,0,2,22
Random #5,16,13,3,0,5,0,4,6,13,2,6,22
,,,,,,,,,,,,
Random #1,16,1,2,1,0,1,1,7,12,1,3,23
Random #2,16,4,4,1,0,3,2,5,16,4,10,23
Random #4,3,4,2,2,0,0,2,1,6,1,6,23
Random #3,2,1,4,0,0,0,1,1,3,0,0,23
Random #5,16,10,3,2,2,1,3,6,18,4,6,23
,,,,,,,,,,,,
Random #1,29,3,4,2,0,2,6,12,22,2,3,24
Random #4,1,8,7,2,0,0,0,0,2,0,0,24
Random #2,8,2,2,1,1,0,2,4,15,0,5,24
Random #3,17,3,2,0,0,2,1,7,13,3,8,24
Random #5,6,10,2,1,0,2,0,2,5,0,0,24
,,,,,,,,,,,,
Random #1,39,5,7,1,1,2,1,14,24,11,18,25
Random #2,0,2,4,1,2,2,1,0,2,0,1,25
Random #3,8,4,2,0,0,1,2,4,11,0,2,25
Random #5,21,7,3,0,5,2,1,9,22,2,7,25
Random #4,2,10,3,1,2,0,0,1,5,0,3,25
,,,,,,,,,,,,
Random #1,25,1,5,4,0,2,2,9,24,7,18,26
Random #2,11,2,14,3,1,2,1,6,9,1,4,26
Random #3,19,4,3,0,1,1,3,8,24,3,5,26
Random #5,4,13,2,1,0,2,0,2,3,0,0,26
Random #4,4,12,0,1,4,0,0,2,8,0,2,26
,,,,,,,,,,,,
Random #1,15,1,0,2,0,3,2,7,18,0,4,27
Random #2,22,6,7,4,2,1,2,9,14,3,4,27
Random #4,15,5,2,5,1,0,5,5,8,3,5,27
Random #3,9,1,3,2,0,0,2,3,5,2,3,27
Random #5,1,7,3,3,3,1,1,0,4,0,3,27
,,,,,,,,,,,,
Random #4,26,3,7,1,0,0,0,11,19,2,5,28
Random #1,3,0,5,4,0,2,2,1,6,1,4,28
Random #2,28,9,8,0,3,2,3,11,13,6,6,28
Random #3,27,9,6,1,0,0,3,10,15,6,8,28
Random #5,5,9,1,0,0,1,2,2,5,0,1,28
,,,,,,,,,,,,
Random #1,24,2,8,6,0,1,2,9,15,6,11,29
Random #4,9,0,5,0,0,1,2,4,7,0,2,29
Random #2,11,4,2,2,0,0,1,4,4,1,1,29
Random #3,16,4,5,0,1,1,2,7,17,2,5,29
Random #5,12,10,7,1,1,2,2,5,6,1,1,29
,,,,,,,,,,,,
Random #1,4,2,5,2,0,0,2,2,10,0,4,30
Random #2,2,1,1,2,0,2,0,1,2,0,1,30
Random #3,3,4,2,3,0,1,1,1,3,1,2,30
Random #4,33,8,11,0,0,0,3,12,18,6,11,30
Random #5,34,14,3,0,5,0,0,14,25,6,12,30
,,,,,,,,,,,,
Random #1,10,0,5,2,0,1,1,4,6,2,3,31
Random #4,10,2,8,1,0,0,1,5,9,0,1,31
Random #2,27,0,4,0,0,4,0,10,26,5,17,31
Random #3,6,13,6,1,3,0,2,3,10,0,0,31
Random #5,14,14,3,0,1,1,1,7,13,0,0,31
,,,,,,,,,,,,
Random #1,10,0,7,2,0,0,2,4,7,2,3,32
Random #4,9,0,3,1,0,1,2,3,16,2,11,32
Random #2,12,1,1,4,0,1,3,5,9,2,4,32
Random #3,15,1,0,1,0,0,1,6,10,3,5,32
Random #5,14,21,3,0,1,1,2,7,12,0,0,32
,,,,,,,,,,,,
Random #1,10,2,10,0,0,1,0,4,12,2,9,33
Random #4,5,3,2,1,4,2,0,2,7,1,4,33
Random #2,20,3,1,0,1,0,1,9,19,2,5,33
Random #3,2,1,1,0,0,0,3,1,4,0,1,33
Random #5,19,17,4,0,5,3,7,7,19,5,12,33
,,,,,,,,,,,,
Random #1,10,2,7,0,0,0,2,3,10,2,7,34
Random #2,4,2,4,0,0,0,0,2,12,0,8,34
Random #3,7,4,1,0,3,3,2,3,12,1,2,34
Random #4,16,6,1,2,0,3,1,6,13,4,5,34
Random #5,8,7,1,0,1,2,2,4,8,0,0,34
,,,,,,,,,,,,
Random #1,17,3,11,2,1,1,3,6,12,3,5,35
Random #2,7,0,5,1,0,0,0,3,9,1,4,35
Random #4,15,1,1,5,0,3,0,7,16,0,5,35
Random #3,26,5,0,3,1,1,2,10,15,5,8,35
Random #5,4,16,6,1,3,1,3,2,4,0,0,35
,,,,,,,,,,,,
Random #1,0,1,2,2,0,4,2,0,2,0,0,36
Random #2,10,6,4,2,0,0,4,5,13,0,2,36
Random #3,18,1,3,1,0,3,1,8,11,1,1,36
Random #4,25,5,4,1,2,1,2,9,17,7,10,36
Random #5,9,8,4,1,4,2,1,5,6,0,0,36
,,,,,,,,,,,,
Random #1,47,1,9,4,0,2,3,16,24,13,21,37
Random #4,11,3,6,0,0,0,0,4,13,1,4,37
Random #2,6,4,2,3,5,1,5,3,6,0,1,37
Random #3,2,3,2,3,0,0,3,1,9,0,5,37
Random #5,18,28,4,0,7,0,4,8,19,0,0,37
,,,,,,,,,,,,
Random #1,10,4,4,2,0,1,3,3,7,2,3,38
Random #2,12,4,4,1,0,0,1,5,21,2,6,38
Random #3,2,3,1,0,0,0,0,1,7,0,4,38
Random #5,2,13,2,1,3,1,0,1,11,0,1,38
Random #4,12,2,3,0,2,1,2,5,11,2,6,38
,,,,,,,,,,,,
Random #1,7,0,11,0,0,0,3,3,4,1,2,39
Random #2,21,0,5,1,0,2,2,8,10,5,7,39
Random #3,18,1,2,0,0,1,2,8,12,2,6,39
Random #5,11,3,3,3,2,0,1,4,9,3,5,39
Random #4,14,12,3,0,1,0,6,7,12,0,0,39
,,,,,,,,,,,,
Random #1,16,1,8,0,1,0,1,7,11,2,3,40
Random #2,11,1,4,1,0,4,1,5,9,1,2,40
Random #3,8,3,4,1,0,2,1,3,7,2,3,40
Random #5,48,3,2,4,0,3,2,17,31,14,22,40
Random #4,0,21,4,0,5,2,2,0,8,0,5,40
,,,,,,,,,,,,
Random #1,17,4,9,2,0,2,11,5,15,3,8,41
Random #2,3,5,4,0,2,1,0,1,3,1,3,41
Random #4,11,1,2,1,0,0,0,4,6,3,4,41
Random #3,35,7,1,0,0,0,2,14,39,6,7,41
Random #5,10,16,6,1,2,1,0,4,5,0,0,41
,,,,,,,,,,,,
Random #1,15,1,7,0,0,1,2,6,14,1,4,42
Random #2,22,1,3,2,0,3,1,10,21,2,6,42
Random #4,15,9,6,3,1,0,3,6,13,3,5,42
Random #3,5,4,2,0,0,0,0,2,6,1,4,42
Random #5,4,20,3,0,6,0,3,2,10,0,0,42
,,,,,,,,,,,,
Random #1,19,0,11,2,0,1,3,7,14,4,8,43
Random #2,14,0,4,0,0,0,0,6,9,0,2,43
Random #3,5,0,3,2,1,0,0,2,3,1,2,43
Random #4,31,13,4,4,5,0,2,13,16,5,7,43
Random #5,24,8,10,3,0,0,0,9,12,6,8,43
,,,,,,,,,,,,
Random #1,5,0,4,2,1,3,0,2,7,1,3,44
Random #2,11,2,2,1,1,0,2,4,7,1,2,44
Random #4,18,6,6,3,1,2,3,8,13,2,3,44
Random #3,12,0,6,1,2,0,3,5,12,2,4,44
Random #5,16,13,5,3,1,0,3,8,15,0,2,44
,,,,,,,,,,,,
Random #1,23,1,16,4,1,0,4,11,16,1,2,45
Random #2,1,0,0,0,0,0,1,0,1,0,0,45
Random #3,2,5,1,2,1,2,2,1,8,0,4,45
Random #4,25,7,7,2,0,1,4,11,18,1,2,45
Random #5,25,8,5,3,2,0,3,10,14,5,8,45
,,,,,,,,,,,,
Random #1,4,1,3,1,0,1,1,1,15,1,11,46
Random #4,12,4,1,1,0,0,1,5,19,2,8,46
Random #2,8,6,1,1,0,0,0,3,8,2,5,46
Random #3,14,15,4,1,4,0,4,6,13,0,0,46
Random #5,6,16,2,0,2,2,2,2,12,0,4,46
,,,,,,,,,,,,
Random #1,18,0,5,3,0,0,1,7,10,4,4,47
Random #4,18,2,3,2,0,6,1,6,12,2,6,47
Random #2,25,6,3,1,1,0,2,9,14,3,5,47
Random #3,21,13,8,4,2,0,2,10,14,0,0,47
Random #5,18,16,13,1,4,2,4,7,15,2,9,47
,,,,,,,,,,,,
Random #4,6,1,5,0,0,0,4,1,4,1,2,48
Random #1,13,2,6,3,1,1,5,5,15,1,1,48
Random #2,34,4,4,1,0,1,1,16,23,1,3,48
Random #3,6,11,4,3,2,1,0,3,3,0,0,48
Random #5,21,13,4,0,5,0,0,7,13,7,11,48
,,,,,,,,,,,,
Random #1,8,0,5,1,0,1,3,3,6,2,5,49
Random #2,31,6,2,2,0,0,2,14,27,3,10,49
Random #4,8,4,2,2,0,1,1,2,8,2,5,49
Random #3,10,21,8,0,2,0,1,5,9,0,1,49
Random #5,6,0,6,0,1,0,2,3,13,0,3,49
,,,,,,,,,,,,
Random #1,6,4,0,1,0,0,0,3,3,0,0,50
Random #2,3,2,0,0,0,5,3,1,12,1,8,50
Random #4,1,3,2,0,0,0,3,0,6,0,4,50
Random #3,19,6,2,4,0,2,7,7,30,4,20,50
Random #5,4,19,3,0,3,2,0,2,4,0,0,50
,,,,,,,,,,,,
Random #1,22,2,15,4,0,2,5,9,16,1,4,51
Random #4,26,3,3,2,2,0,2,9,18,7,12,51
Random #2,16,3,2,0,0,0,1,6,13,4,9,51
Random #3,0,6,3,0,0,1,0,0,2,0,0,51
Random #5,12,20,3,3,5,1,3,6,11,0,3,51
,,,,,,,,,,,,
Random #1,26,2,9,2,0,0,4,9,20,6,13,52
Random #2,17,1,1,3,0,0,4,7,11,2,5,52
Random #4,2,4,3,2,0,0,2,1,3,0,2,52
Random #3,8,1,2,0,0,1,1,3,8,2,7,52
Random #5,13,18,1,1,2,1,6,6,7,1,2,52
,,,,,,,,,,,,
Random #1,14,1,4,2,0,1,5,7,18,0,4,53
Random #2,14,3,5,1,0,0,2,6,10,2,5,53
Random #3,18,2,3,1,1,0,2,4,16,0,2,53
Random #5,5,12,1,2,0,1,3,2,10,1,2,53
Random #4,2,14,5,0,1,0,1,1,3,0,0,53
,,,,,,,,,,,,
Random #1,32,4,15,1,0,2,6,14,17,1,2,54
Random #2,13,2,2,1,1,1,1,5,12,3,8,54
Random #4,11,5,1,1,1,0,0,4,8,3,6,54
Random #3,10,4,2,2,0,0,1,4,7,1,4,54
Random #5,10,6,2,0,1,0,0,4,9,2,5,54
,,,,,,,,,,,,
Random #1,0,2,5,1,1,1,3,0,7,0,3,55
Random #2,27,7,9,4,0,2,3,9,15,9,15,55
Random #4,33,0,1,1,0,1,2,13,20,7,10,55
Random #3,12,7,3,0,0,0,0,5,12,0,0,55
Random #5,6,15,7,0,2,0,1,3,5,0,0,55
,,,,,,,,,,,,
Random #1,6,2,4,1,0,1,3,2,11,0,6,56
Random #2,19,2,4,0,0,0,2,8,14,3,6,56
Random #4,0,5,1,2,0,0,4,0,3,0,0,56
Random #3,28,1,5,4,0,3,4,14,24,0,2,56
Random #5,17,19,7,2,1,0,3,5,9,5,9,56
,,,,,,,,,,,,
Random #1,0,0,4,2,0,2,1,0,0,0,0,57
Random #2,22,2,11,0,1,0,0,8,10,6,8,57
Random #4,20,3,3,0,2,0,1,10,17,0,2,57
Random #3,15,7,1,1,1,0,4,6,11,2,4,57
Random #5,14,10,6,1,1,0,1,6,14,0,1,57
,,,,,,,,,,,,
Random #1,10,3,5,2,1,2,1,4,8,2,2,58
Random #2,16,1,8,3,0,0,2,7,12,2,6,58
Random #3,18,2,1,1,0,1,4,8,14,0,2,58
Random #4,9,8,4,0,2,2,1,4,5,1,2,58
Random #5,14,11,3,2,1,0,1,6,21,0,0,58
,,,,,,,,,,,,
Random #1,3,1,2,1,0,0,1,1,4,1,2,59
Random #2,10,1,2,1,0,0,2,3,9,3,6,59
Random #4,3,6,3,1,1,0,1,1,5,0,2,59
Random #3,30,4,4,0,0,2,2,13,34,2,10,59
Random #5,6,14,2,0,1,2,1,3,11,0,2,59
,,,,,,,,,,,,
Random #1,6,3,1,1,0,1,4,3,11,0,2,60
Random #4,8,4,1,1,4,0,0,4,7,0,1,60
Random #2,15,2,7,0,0,0,2,7,11,1,3,60
Random #3,6,10,5,2,1,0,1,2,12,0,1,60
Random #5,16,14,5,1,3,1,5,7,18,2,7,60
,,,,,,,,,,,,
Random #1,12,9,3,0,0,1,5,4,26,2,9,61
Random #2,8,2,0,1,0,1,3,3,10,2,5,61
Random #4,0,6,5,1,0,0,1,0,3,0,2,61
Random #3,16,4,1,0,0,0,4,7,21,2,6,61
Random #5,3,3,0,0,0,1,0,1,3,0,0,61
,,,,,,,,,,,,
Random #1,2,1,2,1,0,0,0,1,7,0,2,62
Random #2,11,1,5,1,0,0,7,5,10,1,1,62
Random #4,5,1,4,1,2,0,1,2,9,0,3,62
Random #3,8,14,1,0,0,1,2,4,23,0,2,62
Random #5,8,8,0,0,1,0,0,4,11,0,0,62
,,,,,,,,,,,,
Random #1,4,3,10,1,0,0,4,2,14,0,9,63
Random #2,20,1,4,1,0,0,1,8,11,4,6,63
Random #3,25,1,2,1,1,1,2,10,18,5,9,63
Random #5,8,10,4,2,2,1,1,4,8,0,0,63
Random #4,14,11,3,2,3,0,2,5,7,0,0,63
,,,,,,,,,,,,
Random #1,23,2,9,3,0,0,3,9,16,3,8,64
Random #2,6,1,5,0,0,1,0,3,8,0,3,64
Random #3,11,2,3,0,0,0,2,4,14,3,5,64
Random #4,25,2,1,3,0,0,0,10,16,5,7,64
Random #5,4,10,3,1,6,2,0,2,2,0,0,64
,,,,,,,,,,,,
Random #1,20,0,1,0,0,3,4,9,18,2,4,65
Random #2,10,1,5,3,0,3,1,4,9,2,5,65
Random #3,34,6,7,1,2,1,4,15,25,2,2,65
Random #4,12,5,7,0,1,2,2,6,11,0,1,65
Random #5,5,15,3,3,3,0,0,2,6,1,4,65
,,,,,,,,,,,,
Random #1,14,0,6,2,0,0,1,5,12,4,11,66
Random #2,11,2,1,2,1,3,0,4,7,0,0,66
Random #3,22,1,2,3,0,1,2,9,19,2,5,66
Random #4,13,11,2,1,2,1,4,5,12,1,3,66
Random #5,2,3,2,2,1,0,0,1,5,0,0,66
,,,,,,,,,,,,
Random #4,6,0,3,2,0,0,0,2,7,1,4,67
Random #1,14,6,3,0,0,0,4,6,13,0,0,67
Random #2,25,2,5,6,0,0,2,11,22,3,8,67
Random #3,13,4,5,1,0,0,0,5,10,3,8,67
Random #5,8,12,9,3,0,0,2,4,7,0,0,67
